GRB	Redshift
140213A	1.2076 (VLT: absorption)
140206A	2.73 (NOT: absorption)|2.74 (TNG: absorption)
140114A	3.0 (arXiv:1503.05323v1)
131227A	~5.3 (Gemini-North)
131117A	4.18 (MPG: photometric)|4.042 (VLT: absorption)
131105A	1.686 (VLT: emission & absorption)
131103A	0.599 (VLT: emission & absorption)
131030A	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	0.717 (Magellan: emission)|0.71 (TNG: emission)
130925A	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130907A	1.238 (NOT: absorption)
130831A	0.4791 (Gemini-North: absorption)
130701A	1.155 (VLT: absorption)
130612A	2.006 (VLT: absorption)
130610A	2.092 (VLT: absorption)
130606A	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	1.06 (Gemini-North: emission)
130603B	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
130518A	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	3.6 (MPG/ESO: photometric)
130511A	1.3033 (Gemini-North: absorption)
130505A	2.27 (Gemini-North: absorption)
130427B	2.78 (VLT: tentative)
130427A	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	1.297 (GTC: absorption)
130418A	1.218 (GTC)|1.217 (VLT: absorption)
130408A	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
130131B	2.539 (Keck I: emission, host)
121229A	2.707 (VLT: absorption)
121211A	1.023 (Keck I)
121201A	3.385 (VLT: emission  & absorption)
121128A	2.20 (Gemini North: absorption)
121027A	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	2.298 (VLT: absorption)
120922A	3.1 (MPG/ESO :photometric)
120909A	3.93 (VLT: absorption)
120907A	0.970 (OSIRIS/GTC: absorption)
120815A	2.358 (VLT/X-shooter: absorption)
120811C	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	3.1 (arXiv:1503.05323v1)
120802A	3.796 (Gemini-North: absorption)
120729A	0.80 (Gemini-North: absorption)
120724A	1.48 (Gemini-North: absorption, tentative)
120722A	0.9586 (VLT: emission from host)
120714B	0.3984 (VLT: absorption)
120712A	4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)
120521C	~6.0 (Gemini-North: redshift estimate)
120422A	0.28 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	1.798 (GTC: absorption)
120119A	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	2.943 (Keck I: emission)
111229A	1.3805 (Gemini-South: absorption)
111228A	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	0.297 (GTC: absorption)
111209A	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	3.1516 (VLT: emission from host)
111107A	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	3.36 (VLT: absorption)
110808A	1.348 (VLT: emission)
110801A	1.858 (GTC: absorption)
110731A	2.83 (Gemini-North: absorption)
110726A	1.036 < z < 2.7 (Gemini-North)
110715A	0.82 (VLT: absorption)
110503A	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	1.77 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	1.46 (Bok: absorption)
110205A	1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	2.339 (VLT: absorption)
101225A	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)
101219B	0.5519 (ESO-VLT: tentative redshift)
101219A	0.718 (Gemini-North: emission, host)
100906A	1.727 (Gemini-North: absorption)
100902A	4.5 (Swift XRT: tentative redshift)
100901A	1.408 (Gemini-North: absorption, host redshift)
100816A	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	1.44 (Magellan: absorption)
100728B	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)
100728A	1.567 (VLT: emission, host)
100724A	1.288 (VLT: absorption)
100704A	3.6 (Swift: tentative redshift)
100621A	0.542 (VLT: emission)
100615A	1.398 (VLT: emission, host)
100513A	4.772 (Gemini North: absorption)
100425A	1.755 (VLT: absorption)
100424A	2.465 (VLT: emission, host)
100418A	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
